,dishes_name
252,"蒙古烤羊腿


"
253,清蒸海鱼
254,凉拌萝卜丝
255,拌土豆丝
256,谷稻小庄 
257,海带结豆腐汤
258,清炒菊花菜
259,油焖麻辣虾
260,倒立蒸梭子蟹
261,酸辣汤面
262,"番茄炖牛腩


"
263,杭椒鸡珍
264,麻辣小龙虾
265,意文柠檬汁 
266,一品香酥藕
267,辣炒鱿鱼
268,青炒扁豆
269,蛋挞
270,白饭/大碗
271,剁椒鱼头
272,黑米恋上葡萄
273,炝炒大白菜
274,五色糯米饭(七色)
275,冰糖红豆薏米粥
276,凉拌菠菜
277,路易拉菲红酒干红
278,芝士烩波士顿龙虾
279,冰镇花螺
280,焖猪手
281,水煮鱼
282,超人气广式肠粉
283,红酒炖羊肉
284,"蒙古烤羊腿


"
285,"香烤牛排


"
286, 42度海之蓝
287,培根紫菜卷
288,广式虾仁肠粉
289,大蒜苋菜
290,南瓜芝士包
291,桂圆肉红豆八宝饭
292,"蒙古烤羊腿


"
293,凉拌菠菜
294,黑米恋上葡萄
295,爆炒鸡翅
296,孜然羊排
297,山药养生粥
298,桂圆肉红豆八宝饭
299,剁椒鱼头
300,爆炒双丝
301,"五香酱驴肉


"
302,芝士烩波士顿龙虾
303,孜然羊排
304,西瓜胡萝卜沙拉
305, 北冰洋汽水 
306,香酥两吃大虾
307,凉拌菠菜
308,"香辣爆羊肝


"
309,白饭/小碗
310,番茄有机花菜
311,水煮鱼
312,白饭/小碗
313,快炒黄鳝
314,培根紫菜卷
315,白胡椒胡萝卜羊肉汤
316,意文柠檬汁 
317,小米南瓜粥
318,麻辣小龙虾
319,冰糖红豆薏米粥
320,清蒸蝶鱼
321,露露无糖杏仁露
322,焖猪手
323,一品香酥藕
324,凉拌萝卜丝
325,农夫山泉NFC果汁100%橙汁
326,青岛啤酒罐装
327,重庆特色油烧兔
328,孜然羊排
329,"蒙古烤羊腿


"
330,避风塘炒蟹
331,"五香酱驴肉


"
332,蛋挞
333,一品香酥藕
334,南瓜芝士包
335,清爽拌凉面
336,南瓜枸杞小饼干
337,紫薯面包卷
338,香辣腐乳炒虾
339,干锅田鸡
340,避风塘炒蟹
341,姜葱炒花蟹
342,油焖麻辣虾
343,芝麻烤紫菜
344,路易拉菲红酒干红
345,白饭/大碗
346,香酥两吃大虾
347,百里香奶油烤红酒牛肉
348,"独家薄荷鲜虾牛肉卷


"
349,番茄甘蓝
350,"照烧鸡腿


"
351,辣炒鱿鱼
352,麻辣小龙虾
353,"蒙古烤羊腿


"
354,拌土豆丝
355,意文柠檬汁 
356,"照烧鸡腿


"
357,爆炒双丝
358,芹菜炒腰花
359,炝炒大白菜
360,大蒜苋菜
361,焖猪手
362,"小炒羊腰


"
363,凉拌蒜蓉西兰花
364,凉拌菠菜
365,豌豆薯仔猪骨汤
366,培根花菜
367,青岛啤酒罐装
368,纸杯蛋糕
369, 北冰洋汽水 
370,蒜香辣花甲
371,葱油凉拌藕片
372,小米南瓜粥
373,法国波尔多AOC干红葡萄酒原
374,五色糯米饭(七色)
375,糖醋蕃茄溜青花
376,蛋挞
377,黄尾袋鼠西拉子红葡萄酒
378,老式面包
379,鸡蛋、肉末肠粉
380,葱姜炒蟹
381,南瓜枸杞小饼干
382,辣炒鱿鱼
383,白饭/小碗
384,农夫山泉NFC果汁100%橙汁
385,西瓜胡萝卜沙拉
386,冰糖红豆薏米粥
387,紫薯面包卷
388,凉拌菠菜
389,白饭/大碗
390,五彩豆
391,清爽拌凉面
392,"泡椒凤爪


"
393,白胡椒胡萝卜羊肉汤
394,白胡椒胡萝卜羊肉汤
395,盘蟹蒸蛋
396,香酥两吃大虾
397,皮蛋瘦肉粥
398,冰糖红豆薏米粥
399,红酒炖羊肉
400,农夫山泉NFC果汁100%橙汁
401,五彩藕苗
402,辣炒鱿鱼
403,牛肉鸡蛋肠粉
404,冰糖红豆薏米粥
405,清蒸海鱼
